"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "YAML", "TypeScript", "TypeScript JSX", "Ignore", "SCSS", "XML", "HTML", "Batch", "CSS", "comment", "blank", "total"
"k:\cross-platform-music-player-app\apps\desktop\src\electron.d.ts", "TypeScript", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 7, 119
"k:\cross-platform-music-player-app\apps\desktop\src\infrastructure\repositories\ElectronLibraryRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 4, 29, 140
"k:\cross-platform-music-player-app\apps\desktop\src\infrastructure\repositories\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\infrastructure\services\ElectronStorageAdapter.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 18, 71
"k:\cross-platform-music-player-app\apps\desktop\src\infrastructure\services\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 3, 47
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\CleanupResolutionModal\CleanupResolutionModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 2, 34, 251
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\CleanupResolutionModal\CleanupResolutionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 8, 97
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\CleanupResolutionModal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\CleanupResolutionModal\useCleanupResolution.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DeleteConfirmationModal\DeleteConfirmationModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 22, 172
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DeleteConfirmationModal\DeleteConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DeleteConfirmationModal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\DownloaderModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 430, 0, 0, 0, 0, 0, 66, 496
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\DownloaderModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 18, 161
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\AuthState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\DownloaderFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 7, 120
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\InputState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\LoadingState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\PreviewList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderModal\useDownloaderModal.ts", "TypeScript", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 3, 13, 100
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderUI\DownloadPreviewCard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 43, 325
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderUI\DownloadPreviewCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 8, 87
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderUI\DownloadProgressBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderUI\DuplicateWarningBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DownloaderUI\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Dropdown\CustomDropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 19, 135
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Dropdown\CustomDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 17, 152
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Dropdown\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DuplicateResolutionModal\DuplicateResolutionModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 22, 168
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DuplicateResolutionModal\DuplicateResolutionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 8, 81
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DuplicateResolutionModal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\DuplicateResolutionModal\useDuplicateResolution.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\EditModal\EditModal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 29, 223
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\EditModal\EditModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 11, 143
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\EditModal\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\EditModal\useEditModal.ts", "TypeScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 3, 11, 130
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\ErrorBoundary\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 9, 74
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\ErrorBoundary\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\GlobalDragDrop\GlobalDragDrop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\GlobalDragDrop\GlobalDragDrop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 7, 19, 149
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\GlobalDragDrop\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\Header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 33, 299
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 9, 90
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\SearchOverlay.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 49, 383
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\SearchOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 13, 210
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\components\RecentSearches.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 3, 75
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\components\SongResultItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 9, 115
"k:\cross-platform-music-player-app\apps\desktop\src\presentations\components\Header\SearchOverlay\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
